threshold,f1,balanced_accuracy,precision,recall
0.575,0.898360655737705,0.9186224881116736,0.9383561643835616,0.8616352201257862
0.58,0.896551724137931,0.9170501610676485,0.9381443298969072,0.8584905660377359
0.5599999999999999,0.8957654723127035,0.9181622948304955,0.9290540540540541,0.8647798742138365
0.565,0.8957654723127035,0.9181622948304955,0.9290540540540541,0.8647798742138365
0.585,0.8947368421052632,0.9154778340236233,0.9379310344827586,0.8553459119496856
0.59,0.8947368421052632,0.9154778340236233,0.9379310344827586,0.8553459119496856
0.595,0.8943894389438944,0.9145830137546659,0.9409722222222222,0.8522012578616353
0.5549999999999999,0.8943089430894309,0.9174847880554278,0.9259259259259259,0.8647798742138365
0.5249999999999999,0.8942307692307693,0.9203865623561895,0.9117647058823529,0.8773584905660378
0.57,0.8939641109298532,0.9165899677864704,0.9288135593220339,0.8616352201257862
0.5499999999999999,0.8932038834951457,0.9177021015493174,0.92,0.8679245283018868
0.5199999999999999,0.8928,0.9197090555811218,0.9087947882736156,0.8773584905660378
0.5349999999999999,0.8921095008051529,0.9179194150432071,0.9141914191419142,0.8710691823899371
0.5399999999999999,0.8921095008051529,0.9179194150432071,0.9141914191419142,0.8710691823899371
0.6,0.890728476821192,0.9114383596666156,0.9405594405594405,0.8459119496855346
0.5299999999999999,0.8906752411575563,0.9172419082681393,0.9111842105263158,0.8710691823899371
0.5449999999999999,0.8903225806451613,0.916347087999182,0.9139072847682119,0.8679245283018868
0.49999999999999994,0.890302066772655,0.9192488622999437,0.9003215434083601,0.8805031446540881
0.5049999999999999,0.890302066772655,0.9192488622999437,0.9003215434083601,0.8805031446540881
0.5099999999999999,0.890302066772655,0.9192488622999437,0.9003215434083601,0.8805031446540881
0.5149999999999999,0.890302066772655,0.9192488622999437,0.9003215434083601,0.8805031446540881
0.605,0.8888888888888888,0.9098660326225905,0.9403508771929825,0.8427672955974843
0.49499999999999994,0.8874801901743264,0.9178938487498083,0.8945686900958466,0.8805031446540881
0.6649999999999999,0.8866328257191202,0.904497111008846,0.9597069597069597,0.8238993710691824
0.6699999999999999,0.8866328257191202,0.904497111008846,0.9597069597069597,0.8238993710691824
0.6749999999999999,0.8866328257191202,0.904497111008846,0.9597069597069597,0.8238993710691824
0.6799999999999999,0.8862478777589134,0.9036022907398886,0.9630996309963099,0.8207547169811321
0.48999999999999994,0.8860759493670886,0.9172163419747406,0.89171974522293,0.8805031446540881
0.6449999999999999,0.8855218855218855,0.9047144245027356,0.9528985507246377,0.8270440251572327
0.61,0.8851913477537438,0.90672137853454,0.9399293286219081,0.8364779874213837
0.6599999999999999,0.8851351351351351,0.9038196042337783,0.9562043795620438,0.8238993710691824
0.695,0.8850771869639794,0.9009178299330163,0.9735849056603774,0.8113207547169812
0.6849999999999999,0.8843537414965986,0.9020299636958634,0.9629629629629629,0.8176100628930818
0.48499999999999993,0.8836477987421384,0.9167561486935625,0.8836477987421384,0.8836477987421384
0.6499999999999999,0.8836424957841484,0.9031420974587104,0.9527272727272728,0.8238993710691824
0.6549999999999999,0.8836424957841484,0.9031420974587104,0.9527272727272728,0.8238993710691824
0.7,0.8831615120274914,0.8993455028889912,0.9734848484848485,0.8081761006289309
0.4699999999999999,0.8829953198127926,0.9178682824564095,0.8761609907120743,0.889937106918239
0.4749999999999999,0.8826291079812206,0.9169734621874521,0.8785046728971962,0.8867924528301887
0.4799999999999999,0.8826291079812206,0.9169734621874521,0.8785046728971962,0.8867924528301887
0.69,0.882051282051282,0.8995628163828808,0.9662921348314607,0.8113207547169812
0.615,0.8814691151919867,0.9035767244464898,0.9395017793594306,0.8301886792452831
0.62,0.8814691151919867,0.9035767244464898,0.9395017793594306,0.8301886792452831
0.63,0.88107202680067,0.9026819041775324,0.942652329749104,0.8270440251572327
0.635,0.88107202680067,0.9026819041775324,0.942652329749104,0.8270440251572327
0.6399999999999999,0.88107202680067,0.9026819041775324,0.942652329749104,0.8270440251572327
0.4649999999999999,0.880248833592535,0.916513268906274,0.8707692307692307,0.889937106918239
0.38499999999999995,0.8797653958944281,0.9283376796032111,0.8241758241758241,0.9433962264150944
0.625,0.8795986622073578,0.9020043974024646,0.9392857142857143,0.8270440251572327
0.705,0.8793103448275862,0.8962008488009409,0.9732824427480916,0.8018867924528302
0.37999999999999995,0.8784773060029283,0.9276601728281434,0.821917808219178,0.9433962264150944
0.38999999999999996,0.8781204111600588,0.9267653525591859,0.8236914600550964,0.940251572327044
0.4599999999999999,0.8775193798449612,0.9151582553561385,0.8654434250764526,0.889937106918239
0.71,0.8773747841105354,0.8946285217569157,0.9731800766283525,0.7987421383647799
0.37499999999999994,0.8771929824561403,0.9269826660530756,0.819672131147541,0.9433962264150944
0.72,0.8765217391304347,0.8928388812190009,0.980544747081712,0.7924528301886793
0.39499999999999996,0.8764705882352941,0.9251930255151608,0.8232044198895028,0.9371069182389937
0.42499999999999993,0.8761329305135952,0.919389476913637,0.8430232558139535,0.9119496855345912
0.3999999999999999,0.8761061946902655,0.9242982052462034,0.825,0.9339622641509434
0.715,0.8754325259515571,0.8930561947128905,0.9730769230769231,0.7955974842767296
0.36999999999999994,0.875,0.9265224727718975,0.8135135135135135,0.9465408805031447
0.4049999999999999,0.8740740740740741,0.9218310579332208,0.8263305322128851,0.9276729559748428
0.41999999999999993,0.8734939759036144,0.9180344633635016,0.838150289017341,0.9119496855345912
0.4549999999999999,0.8734567901234568,0.9131257350309352,0.8575757575757575,0.889937106918239
0.43999999999999995,0.8728943338437979,0.9142378687937822,0.8507462686567164,0.8962264150943396
0.44499999999999995,0.8728943338437979,0.9142378687937822,0.8507462686567164,0.8962264150943396
0.4149999999999999,0.8725637181409296,0.9182517768573912,0.833810888252149,0.9150943396226415
0.4499999999999999,0.8725038402457758,0.9133430485248248,0.8528528528528528,0.8930817610062893
0.36499999999999994,0.8724637681159421,0.925167459221762,0.8091397849462365,0.9465408805031447
0.4099999999999999,0.8724035608308606,0.9202587308891956,0.8258426966292135,0.9245283018867925
0.42999999999999994,0.8723404255319149,0.9153500025566293,0.8441176470588235,0.9025157232704403
0.43499999999999994,0.8715596330275229,0.9135603620187145,0.8482142857142857,0.8962264150943396
0.35999999999999993,0.8712011577424024,0.9244899524466943,0.806970509383378,0.9465408805031447
0.725,0.8706293706293706,0.8881219000869254,0.9803149606299213,0.7830188679245284
0.73,0.8686514886164624,0.8865495730429003,0.9802371541501976,0.779874213836478
0.74,0.8681898066783831,0.8856547527739429,0.9840637450199203,0.7767295597484277
0.735,0.8666666666666667,0.8849772459988752,0.9801587301587301,0.7767295597484277
0.3549999999999999,0.8661870503597122,0.9217799253464233,0.7984084880636605,0.9465408805031447
0.3499999999999999,0.8624641833810889,0.91974740502122,0.7921052631578948,0.9465408805031447
0.7449999999999999,0.8621908127208481,0.8809377716418674,0.9838709677419355,0.7672955974842768
0.33999999999999997,0.8603988603988604,0.9192872117400419,0.7864583333333334,0.949685534591195
0.3449999999999999,0.86,0.9183923914710845,0.7879581151832461,0.9465408805031447
0.33499999999999996,0.8583569405099151,0.9188270184588638,0.7809278350515464,0.9528301886792453
0.7499999999999999,0.8581560283687943,0.8777931175538171,0.983739837398374,0.7610062893081762
0.7549999999999999,0.8520499108734403,0.8730761364217416,0.9835390946502057,0.7515723270440252
0.32999999999999996,0.851123595505618,0.9147619778084574,0.7690355329949239,0.9528301886792453
0.31999999999999995,0.8463687150837989,0.9120519507081863,0.7613065326633166,0.9528301886792453
0.32499999999999996,0.8463687150837989,0.9120519507081863,0.7613065326633166,0.9528301886792453
0.7599999999999999,0.8458781362007168,0.8683591552896661,0.9833333333333333,0.7421383647798742
0.7649999999999999,0.8432432432432433,0.8658920079766835,0.9873417721518988,0.7358490566037735
0.31499999999999995,0.8428372739916551,0.9100194303829832,0.7556109725685786,0.9528301886792453
0.7699999999999999,0.8411552346570397,0.8643196809326583,0.9872881355932204,0.7327044025157232
0.30999999999999994,0.8393351800554016,0.9079869100577798,0.75,0.9528301886792453
0.7749999999999999,0.8390596745027125,0.8627473538886332,0.9872340425531915,0.7295597484276729
0.30499999999999994,0.8358620689655173,0.9059543897325766,0.7444717444717445,0.9528301886792453
0.7799999999999999,0.8348457350272233,0.8596026998005829,0.9871244635193133,0.7232704402515723
0.7849999999999999,0.8306010928961749,0.8564580457125326,0.987012987012987,0.7169811320754716
0.3,0.8278688524590164,0.9012118423071023,0.7318840579710145,0.9528301886792453
0.7899999999999999,0.8263254113345521,0.8533133916244823,0.9868995633187773,0.710691823899371
0.295,0.824966078697422,0.9000741422508565,0.7255369928400954,0.9559748427672956
0.7999999999999999,0.8213627992633518,0.8492739172674746,0.9911111111111112,0.7012578616352201
0.7949999999999999,0.8198529411764706,0.8485964104924069,0.9867256637168141,0.7012578616352201
0.29,0.8194070080862533,0.8966866083755177,0.7169811320754716,0.9559748427672956
0.285,0.8187919463087249,0.8969039218694074,0.7142857142857143,0.9591194968553459
0.27999999999999997,0.816,0.8957662218131615,0.7083333333333334,0.9622641509433962
0.27499999999999997,0.8138297872340425,0.894411208263026,0.7050691244239631,0.9622641509433962
0.8049999999999999,0.8104089219330854,0.8414122820473487,0.990909090909091,0.6855345911949685
0.26999999999999996,0.8068331143232589,0.8905634811065092,0.6930022573363431,0.9654088050314465
0.26499999999999996,0.8067885117493473,0.8916756148693563,0.6897321428571429,0.9716981132075472
0.8099999999999999,0.8059701492537313,0.8382676279592984,0.9908256880733946,0.6792452830188679
0.25999999999999995,0.8046875,0.8903206013192208,0.6866666666666666,0.9716981132075472
0.25499999999999995,0.8005181347150259,0.8876105742189497,0.6806167400881057,0.9716981132075472
0.24999999999999994,0.7974193548387096,0.8855780538937466,0.6761487964989059,0.9716981132075472
0.815,0.7947269303201506,0.8304059927391727,0.9906103286384976,0.6635220125786163
0.245,0.794344473007712,0.8835455335685433,0.6717391304347826,0.9716981132075472
0.82,0.7901701323251418,0.8272613386511223,0.990521327014218,0.6572327044025157
0.235,0.789272030651341,0.8801579996932045,0.6645161290322581,0.9716981132075472
0.24,0.789272030651341,0.8801579996932045,0.6645161290322581,0.9716981132075472
0.22999999999999998,0.7862595419847328,0.8781254793680012,0.6602564102564102,0.9716981132075472
0.22499999999999998,0.7822784810126582,0.8754154522677302,0.6546610169491526,0.9716981132075472
0.21999999999999997,0.7818411097099621,0.8756327657616199,0.6526315789473685,0.9748427672955975
0.825,0.780952380952381,0.8209720304750217,0.9903381642512077,0.6446540880503144
0.21499999999999997,0.7779171894604768,0.872922738661349,0.6471816283924844,0.9748427672955975
0.20999999999999996,0.7755610972568578,0.871785038605103,0.6425619834710744,0.9779874213836478
0.20499999999999996,0.7726708074534161,0.8697525182798997,0.6386036960985626,0.9779874213836478
0.19999999999999996,0.7698019801980198,0.8677199979546966,0.6346938775510204,0.9779874213836478
0.195,0.7631901840490798,0.8629774505292223,0.6257545271629779,0.9779874213836478
0.83,0.7620889748549323,0.8083934141228204,0.9899497487437185,0.6194968553459119
0.19,0.7594627594627594,0.8602674234289513,0.6207584830339321,0.9779874213836478
0.185,0.7566909975669099,0.858234903103748,0.6170634920634921,0.9779874213836478
0.18,0.7518072289156627,0.855064682722299,0.609375,0.9811320754716981
0.175,0.7473053892215569,0.8516771488469601,0.6034816247582205,0.9811320754716981
0.835,0.7426326129666012,0.7958147977706191,0.9895287958115183,0.5943396226415094
0.16999999999999998,0.7425860023724793,0.8485069284655111,0.5961904761904762,0.9842767295597484
0.16499999999999998,0.7388235294117647,0.8460142148591296,0.5902255639097744,0.9874213836477987
0.84,0.73767258382643,0.7926701436825689,0.9894179894179894,0.5880503144654088
0.15999999999999998,0.7327887981330222,0.8412716674336554,0.5825602968460112,0.9874213836477987
0.845,0.7326732673267327,0.7895254895945185,0.9893048128342246,0.5817610062893082
0.15499999999999997,0.727694090382387,0.837206626783249,0.5761467889908257,0.9874213836477987
0.14999999999999997,0.7260115606936416,0.8358516132331135,0.5740402193784278,0.9874213836477987
0.8499999999999999,0.7250996015936255,0.7848085084624431,0.9891304347826086,0.5723270440251572
0.145,0.7201834862385321,0.8311090658076392,0.5667870036101083,0.9874213836477987
0.13999999999999999,0.7160775370581528,0.8277215319323005,0.5617173524150268,0.9874213836477987
0.8549999999999999,0.714859437751004,0.7785192002863425,0.9888888888888889,0.559748427672956
0.135,0.7102593010146562,0.8231962980007159,0.5536028119507909,0.9905660377358491
0.8599999999999999,0.7096774193548387,0.7753745461982922,0.9887640449438202,0.5534591194968553
0.13,0.7039106145251397,0.8177762438001739,0.5459272097053726,0.9905660377358491
0.8649999999999999,0.7018255578093306,0.7706575650662166,0.9885714285714285,0.5440251572327044
0.12499999999999999,0.6984478935698448,0.8130336963746996,0.5393835616438356,0.9905660377358491
0.12,0.6923076923076923,0.8076136421741575,0.5320945945945946,0.9905660377358491
0.11499999999999999,0.6862745098039216,0.8021935879736155,0.525,0.9905660377358491
0.8699999999999999,0.6858316221765913,0.7612236028020658,0.9881656804733728,0.5251572327044025
0.8749999999999999,0.6831275720164609,0.7596512757580406,0.9880952380952381,0.5220125786163522
0.10999999999999999,0.6788793103448276,0.795418520222938,0.5163934426229508,0.9905660377358491
0.105,0.6723585912486659,0.7893209592473283,0.5088852988691438,0.9905660377358491
0.8799999999999999,0.6666666666666666,0.7502173134938896,0.9876543209876543,0.5031446540880503
0.09999999999999999,0.660377358490566,0.7778033440711766,0.49528301886792453,0.9905660377358491
0.095,0.6548856548856549,0.7723832898706345,0.4891304347826087,0.9905660377358491
0.8849999999999999,0.6497890295358649,0.7407833512297387,0.9871794871794872,0.48427672955974843
0.09,0.648870636550308,0.7665030423889145,0.4817073170731707,0.9937106918238994
0.08499999999999999,0.6423505572441742,0.7599452881321266,0.47384155455904337,0.9968553459119497
0.08,0.6352705410821643,0.7524927136063814,0.4661764705882353,0.9968553459119497
0.8899999999999999,0.6295503211991434,0.7297770619215627,0.9865771812080537,0.46226415094339623
0.075,0.6264822134387352,0.7430076187554329,0.45677233429394815,0.9968553459119497
0.07,0.6179337231968811,0.7335225239044844,0.4477401129943503,0.9968553459119497
0.8949999999999999,0.6147186147186147,0.7219154267014368,0.9861111111111112,0.44654088050314467
0.065,0.6103646833013435,0.7249322493224932,0.43922651933701656,1.0
0.06,0.5988700564971752,0.7113821138211383,0.4274193548387097,1.0
0.8999999999999999,0.5903083700440529,0.7093368103492356,0.9852941176470589,0.42138364779874216
0.055,0.5899814471243042,0.7005420054200542,0.41842105263157897,1.0
0.05,0.5792349726775956,0.6869918699186992,0.4076923076923077,1.0
0.9049999999999999,0.5746102449888641,0.7014751751291097,0.9847328244274809,0.4056603773584906
0.9099999999999999,0.5565610859728507,0.6927187196400266,0.9919354838709677,0.3867924528301887
0.9149999999999999,0.54337899543379,0.686429411463926,0.9916666666666667,0.3742138364779874
0.9199999999999999,0.5162790697674419,0.6738507951117247,0.9910714285714286,0.3490566037735849
0.9249999999999999,0.4845605700712589,0.6596998517154983,0.9902912621359223,0.32075471698113206
0.9299999999999999,0.44768856447688565,0.6439765812752467,0.989247311827957,0.2893081761006289
0.9349999999999999,0.4129353233830846,0.6298256378790204,0.9880952380952381,0.2610062893081761
0.94,0.3816793893129771,0.6179245283018868,1.0,0.2358490566037736
0.945,0.36503856041131105,0.6116352201257862,1.0,0.22327044025157233
0.95,0.3263157894736842,0.5974842767295597,1.0,0.1949685534591195
